ID_Entidad,Distrito,ID_Distrito,Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3
1,1,1_1,Circunscripción 2,0.9053404638095472,0.18730573542536824,0.282154915346132
1,2,1_2,Circunscripción 2,0.9475766121451401,0.171554357776932,0.3107651814250799
1,3,1_3,Circunscripción 2,0.9388487843387303,0.19326297439176893,0.33233894290984445
2,1,2_1,Circunscripción 1,0.9423078205547145,0.17742181258082318,0.2916085921400991
2,2,2_2,Circunscripción 1,0.9284061245957844,0.1856000848122897,0.3443565667978338
2,3,2_3,Circunscripción 1,0.9321973629937275,0.19989325843925465,0.32681667543772314
2,4,2_4,Circunscripción 1,0.9556436126436432,0.22839445769191813,0.3309598561282653
2,5,2_5,Circunscripción 1,0.9473828175456459,0.26667621742296715,0.34540425952238035
2,6,2_6,Circunscripción 1,0.9327245233788952,0.28202901415875886,0.348696889732262
2,7,2_7,Circunscripción 1,0.9318707905577716,0.20443708792402593,0.31497417118943305
2,8,2_8,Circunscripción 1,0.9476212899835528,0.23550609582075513,0.3449487814698797
3,1,3_1,Circunscripción 1,0.9408653652646408,0.1312665288685401,0.3262145300865365
3,2,3_2,Circunscripción 1,0.9431793742418898,0.19237533726391526,0.30796693134210235
4,1,4_1,Circunscripción 3,0.8444415436829092,0.2002209991712531,0.313604742233211
4,2,4_2,Circunscripción 3,0.8303024729674844,0.23828840932077688,0.30829712393958203
5,1,5_1,Circunscripción 2,0.9276127257780749,0.18828972566210375,0.27810173554290457
5,2,5_2,Circunscripción 2,0.8898497442455243,0.1958176306459864,0.26222826086956524
5,3,5_3,Circunscripción 2,0.9131289680659528,0.1671866008419905,0.25379828800657
5,4,5_4,Circunscripción 2,0.9297936875840559,0.1692974499765634,0.2808896328726357
5,5,5_5,Circunscripción 2,0.9054934993590917,0.22298305257466688,0.3593114814136605
5,6,5_6,Circunscripción 2,0.9307538358905937,0.22242168584282268,0.2925107966714652
5,7,5_7,Circunscripción 2,0.9028639075521548,0.167949032307159,0.28222777982485714
6,1,6_1,Circunscripción 5,0.9207479009616812,0.17862735824268222,0.3581066591887567
6,2,6_2,Circunscripción 5,0.900499019951329,0.15704182594046368,0.334807351785393
7,1,7_1,Circunscripción 3,0.4825857711867051,0.2813452973826814,0.21236103455806649
7,10,7_10,Circunscripción 3,0.7386295360259406,0.3628902435163379,0.2652043297887559
7,11,7_11,Circunscripción 3,0.5053738231265655,0.18215688145067513,0.16600239385002652
7,12,7_12,Circunscripción 3,0.8642717609153411,0.42020381118182465,0.3534430998469358
7,13,7_13,Circunscripción 3,0.6990363831033717,0.29015877506276744,0.25030807458435184
7,2,7_2,Circunscripción 3,0.4669109423431292,0.23245153001635133,0.18515599203263636
7,3,7_3,Circunscripción 3,0.41665302877983773,0.2841657895538797,0.1648352932924976
7,4,7_4,Circunscripción 3,0.7151649410065013,0.35097921540289295,0.273383096556706
7,5,7_5,Circunscripción 3,0.6630340788491018,0.30428944095276883,0.27903777367241855
7,6,7_6,Circunscripción 3,0.8517018484617752,0.4199454202302212,0.28651157516159864
7,7,7_7,Circunscripción 3,0.7796739352703883,0.3859365787382399,0.3088134143847713
7,8,7_8,Circunscripción 3,0.7505474062000955,0.33713823130067544,0.23736026736471247
7,9,7_9,Circunscripción 3,0.9377545390052288,0.39130708021928085,0.38613731311910454
8,1,8_1,Circunscripción 1,0.960779697054018,0.16150308221347265,0.3132915230776914
8,2,8_2,Circunscripción 1,0.9341203826526632,0.1824465591599475,0.323514724012547
8,3,8_3,Circunscripción 1,0.9095787342932438,0.22560596141567457,0.3631268380246725
8,4,8_4,Circunscripción 1,0.9390140619396778,0.19677276106556763,0.3551040339378772
8,5,8_5,Circunscripción 1,0.9224522353477419,0.13657155614244254,0.34425494739241086
8,6,8_6,Circunscripción 1,0.954780952135773,0.10392251937960088,0.3534628677346068
8,7,8_7,Circunscripción 1,0.8801401486058493,0.13778420059791063,0.31168394073025707
8,8,8_8,Circunscripción 1,0.9408294195713314,0.1144214012606317,0.36679571193794824
8,9,8_9,Circunscripción 1,0.7422660664687291,0.1349323352608808,0.3080909661696943
9,1,9_1,Circunscripción 4,0.8845384629370375,0.25133417334492786,0.37274776822239597
9,10,9_10,Circunscripción 4,0.9341873935264055,0.19231149752299045,0.41018057921635437
9,11,9_11,Circunscripción 4,0.9192472114392413,0.2752099117839085,0.4315954989926785
9,12,9_12,Circunscripción 4,0.9422379763151535,0.274132413286488,0.4479013937001531
9,13,9_13,Circunscripción 4,0.9234285131725386,0.27210405221392686,0.4105448274104344
9,14,9_14,Circunscripción 4,0.9293739643535546,0.2733461974693986,0.39542496867800997
9,15,9_15,Circunscripción 4,0.967663146893265,0.20084394211257323,0.44041851033495594
9,16,9_16,Circunscripción 4,0.9243120437024557,0.2386915699650112,0.3976361872670649
9,17,9_17,Circunscripción 4,0.9276006638134335,0.25089009700458376,0.349331819372871
9,18,9_18,Circunscripción 4,0.9147939375839929,0.3055305700741461,0.39326377482454833
9,19,9_19,Circunscripción 4,0.9071404201393966,0.3210107891715755,0.3848028464200419
9,2,9_2,Circunscripción 4,0.9137079939421228,0.2577090956744388,0.4102983913879907
9,20,9_20,Circunscripción 4,0.8958809118465307,0.3457979713170555,0.40373915209899097
9,21,9_21,Circunscripción 4,0.891626456766495,0.3128215895928416,0.34647006496482197
9,22,9_22,Circunscripción 4,0.8747619968843229,0.3536426338615823,0.3523057029110199
9,23,9_23,Circunscripción 4,0.932583424564805,0.27142070726519474,0.42511637235811767
