"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
3,3,1,1,-5.34114216526185,-5.23137991595508,0.996433413793956,0.352657931626535,0.674545672710245
4,2,1,2,-5.28339690839118,-5.16265843415374,0.962984116194255,0.343643105606613,0.653313610900434
4,1,1,2,-5.28955324065288,-5.17979099134612,0.978143066758266,0.328376651439775,0.653259859099021
4,1,2,2,-5.28387142189982,-5.16313294766238,0.978146254059282,0.328066701846708,0.653106477952995
3,1,2,2,-5.28885892805606,-5.1790966787493,0.957221045283547,0.341357908493719,0.649289476888633
3,1,1,2,-5.29454075742073,-5.19575473304465,0.957230929463715,0.341276218695119,0.649253574079417
1,4,1,2,-5.28800780009661,-5.17824555078985,0.945362303218311,0.345859243701545,0.645610773459928
1,4,2,2,-5.28232597468138,-5.16158750044394,0.945353649007522,0.3458183535262,0.645586001266861
2,4,2,1,-5.27961490720875,-5.15887643297131,0.957485524552732,0.324278649702568,0.64088208712765
4,1,1,1,-5.2926335373716,-5.19384751299551,0.981779901591763,0.293053234631728,0.637416568111745
4,1,2,1,-5.28695171488349,-5.17718946557673,0.981781642686486,0.2930378977972,0.637409770241843
1,3,1,2,-5.29289694180037,-5.19411091742429,0.908876849192834,0.357224912775607,0.63305088098422
1,3,2,2,-5.28721511993863,-5.17745287063187,0.908884530041568,0.357171058720889,0.633027794381229
1,4,2,1,-5.28531314979475,-5.17555090048798,0.956236440665146,0.306055555683988,0.631145998174567
1,4,1,1,-5.29099500295955,-5.19220897858346,0.956223262394101,0.305840017323042,0.631031639858572
3,1,1,1,-5.2971496162294,-5.20933981678399,0.963161578063197,0.296394401899957,0.629777989981577
3,1,2,1,-5.29146779709244,-5.19268177271635,0.96316169193164,0.296388507170375,0.629775099551008
4,4,1,2,-5.34046650180093,-5.19777557770214,0.281445706273674,0.973057394341613,0.627251550307643
2,2,1,0,6.71936425782617,6.79619783234091,0.252644305179559,0.999735198642853,0.626189751911206
1,3,1,1,-5.29540556841309,-5.20759576896768,0.919356408943088,0.307075792779507,0.613216100861297
1,3,2,1,-5.28972374864626,-5.19093772427017,0.919355085538854,0.307050198480288,0.613202642009572
